,0
88,"Пиязға есірткі жасырып, тергеу изоляторына кіргізбек болған ақтөбелік жазаланды, - деп хабарлайды Tengrinews.kz тілшісі Polisia.kz сайтына сілтеме"
89,"Екібастұзда Ресейде қыз зорлады деген күдікпен 10 жыл мемлекетаралық іздеуде жүрген 33 жастағы қазақстандық ұсталды, - деп хабарлайды Tengrinews.kz"
90,"Ішкі істер министрі Марат Ахметжанов қаңтардағы тәртіпсіздіктерден кейін кісі өлтіру дерегі бойынша 90 қылмыстық іс тергеліп жатқанын айтты,"
91,"Ішкі істер министрлігі полицейлер қаңтар оқиғасы кезінде неліктен қару қолданғанын түсіндірді, - деп хабарлайды Tengrinews.kz тілшісі."
92,"Батыс Қазақстан облысының полицейлері аяусыз ұрып-соғылған екі әйелге қатысты деректі тексере бастады. Қазір күдікті ұсталып, уақытша ұстау"
93,"Түркістан облысының полицейлері мемлекеттен субсидия алуға көмектесемін деп, тұрғындарды алдаған әйелді ұстады, - деп хабарлайды Tengrinews.kz"
94,"Ақтөбелік тұрғынды әлеуметтік желіде алдап, ақшасын жымқырған ер адам ұсталды, - деп хабарлайды Tengrinews.kz тілшісі Polisia.kz сайтына сілтеме"
95,"Алматыда қаңтардағы тәртіпсіздіктер кезінде ұрланған қарулар тәркіленді, - деп хабарлайды Tengrinews.kz тілшісі Polisia.kz сайтына сілтеме жасап."
96,"Жітіқара қаласында ер адам туысының атына бес несие рәсімдеген, - деп хабарлайды Tengrinews.kz тілшісі Polisia.kz сайтына сілтеме жасап."
97,7 наурызда Алматы облысы Қарасай ауданындағы Шамалған ауылы маңында жаппай төбелес болды. Оған 30-ға жуық адам қатысқан. Салдарынан оқиғаға
98,"8 наурызда Шахтинск полиция бөлімінің уақытша ұстау изоляторынан қамауға алынған екі адам қашып кетті. Полиция қашқындарды қолға түсіріп үлгерді,"
99,"Батыс Қазақстан облысында жантүршігерлік жол апаты болып, бір адам қаза тапты - деп хабарлайды Tengrinews.kz тілшісі."
100,"Алматы полициясы 28 панфиловшылар аллеясының маңдайшаларын ұрлағандарды ұстады, - деп хабарлайды Polisia.kz."
101,"Антикор қызметкерлерін қуған патрульдік полиция экипажы Қарағанды облысындағы қызметінен босатылды. Полицейлердің бірі бейнеүндеу жасады, -"
102,Алматыда полицейлер жол бойына ақша шашқан жүргізушіні іздестіріп жатыр. Бұл туралы Алматы Полиция департаменті басшысының тергеу жұмысы жөніндегі
103,"Алматыда ірі есірткі зертханасы анықталды, - деп хабарлайды Tengrinews.kz тілшісі Polisia.kz сайтына сілтеме жасап."
104,Тәртіпсіздік кезінде Алматы қалалық полиция департаментіне қарасты метрополитен полиция бөлімінің қызметкері Асыл Дүйсембеков қатты соққыға
105,"Ернар Базаров Семей қалалық полиция басқармасының басшысы болып тағайындалды, - деп хабарлайды Tengrinews.kz тілшісі ШҚО ПД баспасөз қызметіне"
106,"Оралда ер адам дүкендердің бірінен жарты миллион теңгенің телефондарын алып кеткен, - деп хабарлайды Tengrinews.kz тілшісі."
107,"Алматыда зейнеткерлерді тонаған ер адам ұсталды, - деп хабарлайды Tengrinews.kz тілшісі Polisia.kz сайтына сілтеме жасап."
108,"Алматыда тәртіпсіздік кезінде көлік ұрлағандар ұсталды. Бұл туралы қалалық ПД баспасөз қызметі мәлімдеді, - деп хабарлайды Tengrinews.kz тілшісі."
109,"Алматы облысында полиция көлігі ірі жол апатына түсті, - деп хабарлайды Tengrinews.kz тілшісі облыстық Полиция департаментіне сілтеме жасап. "
110,"Жамбыл облысында қаңтардағы тәртіпсіздіктер кезінде жанғыш қоспасы бар бөтелкелер таратқан адам ұсталды, - деп хабарлайды Tengrinews.kz тілшісі"
111,"Алматы қалалық ПД бастығының орынбасары Рустам Әбдірахманов қаңтар оқиғасы кезінде қаза тапқан полицейлер туралы айтты, - деп хабарлайды Tengrinews.kz"
112,"ІІМ қылмыстық-атқару жүйесі комитеті өкілі әлеуметтік желіде Алматыда азаптау камераларын құру туралы жалған ақпарат таралып жатқанын айтты,"
113,"Нұр-Сұлтан қаласының тұрғыны ""102"" арнасына 13 жастағы қызы жоғалып кеткенін хабарлады. Елордалық полицияның жеке құрамы қызды іздеуге жұмылдырылған,"
